index,111a4,111a5,111a6,112a4,112a5,112a6,113a4,113a5,113a6
"""",4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
1-м,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
<unknown>,421.0,488.0,250.0,236.0,388.0,200.0,275.0,488.0,222.0
@card@,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
а,36.0,25.0,24.0,42.0,35.0,25.0,36.0,80.0,20.0
аа,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ааа,2.0,1.0,0.0,0.0,0.0,1.0,5.0,4.0,2.0
аааа,0.0,2.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0
ааааа,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
автобус,0.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0
автобусный,0.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0
ага,2.0,2.0,1.0,0.0,5.0,0.0,0.0,2.0,1.0
аж,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
азиат,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ай,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ака,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
акать,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
аквариум,8.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0
акой,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
аксессуар,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
акула,4.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0
ам,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
америк,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
американец,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
американский,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
