index,sm1,sm2,sm3,sm4,sm5
*a,954,2012,2238,1834,1117
*a7,7,7,7,7,7
*aL,671,6,1,6,671
*aN,4,4,0,4,4
*ad,0,0,0,36,0
*adn,1,1,1,1,1
*af,124,0,0,14,124
*aft,2,2,2,2,2
*ag,91,0,0,84,0
*agm,1,1,1,1,1
*aj,3,1,1,1,1
*ajm,1,1,1,1,1
*ajz,0,0,0,2,2
*ak,25,2,2,25,2
*akm,1,1,1,1,1
*akp,2,2,2,2,2
*akt,14,14,14,14,14
*al,49,49,44,47,49
*al4,0,0,0,2,0
*am,5,5,1,2,4
*amp,1,1,1,1,1
*ams,0,0,0,0,1
*an,211,184,15,112,134
*andr,1,1,1,1,1
*ans,3,3,3,3,53
*anst,0,0,0,2,0
*ant,23,23,23,33,23
*antr,1,1,1,1,1
*ap,2,2,2,2,2
*apn,1,1,1,1,1
*apt,1,1,1,1,1
*ar,111,49,10,109,111
*ar7,1,1,1,1,1
*arf,1,1,1,1,1
*ark,1,1,1,1,1
*art,8,8,8,8,8
*arx,2,2,2,2,2
*as,10,2,2,2,10
*askr,1,1,1,1,1
*ast,2,2,2,4,2
*at,21,11,11,21,11
*atr,23,23,23,23,23
*av,33,0,0,0,33
*ax,23,18,18,23,18
*az,8,0,0,5,1
*e,2285,2315,2343,2312,2314
*eL,3,3,2,3,3
*ek,25,0,0,25,0
*en,28,27,0,2,26
*en7,0,0,0,0,1
*ent,6,6,6,6,6
*es,6,5,5,5,6
*et,18,15,15,18,15
*i,1074,1260,1300,1268,1086
*i4p,1,1,1,1,1
*i7,2,2,2,2,2
*iL,1,1,1,1,1
*iN,6,6,0,6,6
*iS,67,0,0,0,67
*if,1,1,1,1,1
*ift,1,1,1,1,1
*igr,8,8,8,8,8
*ik,2,2,2,2,2
*iks,1,1,1,1,1
*il,3,3,3,3,3
*im,213,213,186,186,213
*in,8,8,1,1,8
*int,1,1,1,1,1
*ip,1,1,1,1,1
*ipk,1,1,1,1,1
*is,384,330,330,330,384
*isk,2,2,2,2,2
*iskr,1,1,1,1,1
*ist,1,1,1,1,1
*it,4,4,4,4,4
*itf,1,1,1,1,1
