foreignWord,pos,gen,nativeWord,translate,les,fullpos,pos_freq,pics,downloaded
(-ega -a),noun,m ,Gemüseteller,0,5,Substantiv ,459,,
(-ih/-ø),noun,f ,alkoholfreie Getränke,0,5,Substantiv /pl ,459,,
abecednik (-a),noun,-,Fibel (erstes Lesebuch),0,12,"Substantiv, m ",459,,
adíjo,mix,-,Tschüß,,2,Interjektion ,32,,
agéncija (-e),noun,-,Agentur,,15,"Substantiv, f ",459,,
alkoholne pijače,noun,f ,alkoholische Getränke,,5,Substantiv /pl ,459,,
Alpe (-ø),noun,f/Pl ,Alpen,,14,Substantiv ,459,,
"alpski, -a, -o",adj,-,Alpen-,,14,Adjektiv ,208,,
àmpak,mix,-,"aber, sondern",,4,Konjunktion ,32,,
apríl (-a),noun,m ,April,,1,Substantiv ,459,,
arhitékt (-a),noun,m ,Architekt,,1,Substantiv ,459,,
Avstrija (-e),noun,f ,Österreich,,14,Substantiv ,459,,
Ávstrija (-e),noun,f ,Österreich,,2,Substantiv ,459,,
ávto (-a),noun,m ,Auto,,1,Substantiv ,459,,
"avtobusni, -a, -o",adj,-,Bus- (in Komposita),0,7,Adjektiv ,208,,
avtomobíl (-a),noun,m ,Auto (im Dual und Plural anstelle von avto gebraucht),Auto,6,Substantiv ,459,http://mrg.bz/z5xfUe,car
avtor (-ja),noun,-,Author,,12,"Substantiv, m ",459,,
bábica (-e),noun,f ,Oma,,9,Substantiv ,459,,
banána (-e),noun,f ,Banane,,1,Substantiv ,459,http://mrg.bz/XhT9qz,bananas
bánka (-e),noun,f ,Bank,,1,Substantiv ,459,,
bankomat (-a),noun,m ,Geldautomat,,8,Substantiv ,459,,
bár (-a),noun,m ,Bar,,3,Substantiv ,459,,
"bati se, boji se",verb,-,sich fürchten,,10,"Verb, impf ",145,,
"bél -a, -o",adj,-,weiß,,3,Adjektiv ,208,,
bela kava,noun,f ,Milchkaffee,,5,Substantiv ,459,,
belo vino,noun,n ,Weißwein,,5,Substantiv ,459,,
beséda (-e),noun,f ,Wort,,1,Substantiv ,459,,
besedílo (-a),noun,n ,Text,,9,Substantiv ,459,,
besedíšče (-a),noun,n ,Vokabelliste,,1,Substantiv ,459,,
béž (auch beige)(unveränderlich),adj,-,beige,,3,Adjektiv ,208,,
bi,mix,-,würde,,5,"Partikel, (Konditionalmorphem) ",32,,
biblija (-e),noun,-,Bibel,,12,"Substantiv, f ",459,,
biologíja (-e),noun,f ,Biologie,,1,Substantiv ,459,,
"bíti, je",verb,-,sein,,2,"Verb, impf ",145,,
blizu,adj,-,in der Nähe,,8,Adverb ,208,,
bôlj,adj,-,mehr,,2,"Adverb, Komparativ ",208,,
"boljši, -a, -e",adj,-,besser,,14,Adjektiv ,208,,
"brálec, -lca",noun,m ,Leser,,16,Substantiv ,459,,
"branjevka, -e",noun,f ,Markthändlerin / Gemüsefrau,,11,Substantiv ,459,,
"brati, bere",verb,-,lesen,,12,"Verb, impf ",145,,
"bráti, bêre",verb,-,lesen,,4,"Verb, impf ",145,,
čaj (-a),noun,m ,Tee,,5,Substantiv ,459,,
čas (-a),noun,m ,Zeit,,13,Substantiv ,459,,
čàs (čása),noun,m ,Zeit,,9,Substantiv ,459,,
časopis (-a),noun,m ,Zeitung,,13,Substantiv ,459,,
časopís (-a),noun,m ,Zeitung,,6,Substantiv ,459,,
Čéh (-a),noun,m ,Tscheche,,1,Substantiv ,459,,
"cél, -a, -o",adj,-,ganz,,15,Adjektiv ,208,,
celo,adj,-,sogar,,14,Adverb ,208,,
cénter (-tra),noun,m ,Zentrum,,1,Substantiv ,459,,
cerkev (-kve),noun,f ,Kirche,,8,Substantiv ,459,,
"češnja, -e",noun,f ,Kirsche,,11,Substantiv ,459,,
čevapčiči,noun,m ,Cevapcici,,5,"Substantiv, pl ",459,,
čevelj (-vlja),noun,m ,Schuh,,8,Substantiv ,459,http://mrg.bz/CVsOCf,shoe
čez,prep,-,-,,6,Präposition,18,,
cigaréta (-e),noun,f ,Zigarette,,1,Substantiv ,459,http://mrg.bz/mMv1mX,cigarette
"čigáv -a, -o",pron,-,wessen,,3,Interrogativpronom ,28,,
Číle (-a),noun,m ,Chile,,9,Substantiv ,459,,
cílj (-a),noun,m ,Ziel,,1,Substantiv ,459,,
číps (-a),noun,m ,Kartoffelchips,,1,Substantiv ,459,http://mrg.bz/JCGHDA,chips
član (-a),noun,m ,Mitglied,,14,Substantiv ,459,,
"článek, -a",noun,m ,Artikel,,16,Substantiv ,459,,
cmok (-a),noun,m ,Knödel,,5,Substantiv ,459,,
čokoláda (-e),noun,f ,Schokolade,,1,Substantiv ,459,,
"črn -a, -o",adj,-,schwarz,,13,Adjektiv ,208,,
črtica (-e),noun,-,Kurzgeschichte,,12,"Substantiv, f ",459,,
Cukrarna (-e),noun,-,ehemalige Zuckerfabrik in Ljubljana,0,12,"Substantiv, f ",459,,
da,mix,-,um ... zu,,6,Konjunktion ,32,,
"daljši, -a, -e",adj,-,länger,,14,Adjektiv ,208,,
dan (dneva),noun,m ,Tag,,7,Substantiv ,459,,
dán (dnéva),noun,m ,Tag,,4,Substantiv ,459,,
dán (dnéva),noun,m ,Tag,,2,Substantiv ,459,,
danes,adj,-,heute,,12,Adverb ,208,,
darilo (-a),noun,n ,Geschenk,,7,Substantiv ,459,,
"dáti, -a",verb,-,geben,,15,"Verb, pf ",145,,
"dati, da",verb,-,geben,,7,"Verb, pf ",145,,
"dêbel debéla, -o",adj,-,dick,,3,Adjektiv ,208,,
december (-bra),noun,-,Dezember,,12,"Substantiv, m ",459,,
decêmber (-bra),noun,m ,Dezember,,1,Substantiv ,459,,
dédek (-dka),noun,m ,Opa,,9,Substantiv ,459,,
"dél, -a",noun,m ,Teil,,16,Substantiv ,459,,
