,foreignWord,pos,gen,nativeWord,translate,les,fullpos,pos_freq,pics,downloaded
3,adíjo,mix,-,Tschüß,,2,Interjektion ,32,,
4,agéncija (-e),noun,-,Agentur,,15,"Substantiv, f ",459,,
5,alkoholne pijače,noun,f ,alkoholische Getränke,,5,Substantiv /pl ,459,,
6,Alpe (-ø),noun,f/Pl ,Alpen,,14,Substantiv ,459,,
7,"alpski, -a, -o",adj,-,Alpen-,,14,Adjektiv ,208,,
8,àmpak,mix,-,"aber, sondern",,4,Konjunktion ,32,,
9,apríl (-a),noun,m ,April,,1,Substantiv ,459,,
10,arhitékt (-a),noun,m ,Architekt,,1,Substantiv ,459,,
11,Avstrija (-e),noun,f ,Österreich,,14,Substantiv ,459,,
13,ávto (-a),noun,m ,Auto,,1,Substantiv ,459,,
15,avtomobíl (-a),noun,m ,Auto (im Dual und Plural anstelle von avto gebraucht),Auto,6,Substantiv ,459,http://mrg.bz/z5xfUe,car
16,avtor (-ja),noun,-,Author,,12,"Substantiv, m ",459,,
17,bábica (-e),noun,f ,Oma,,9,Substantiv ,459,,
18,banána (-e),noun,f ,Banane,,1,Substantiv ,459,http://mrg.bz/XhT9qz,bananas
19,bánka (-e),noun,f ,Bank,,1,Substantiv ,459,,
20,bankomat (-a),noun,m ,Geldautomat,,8,Substantiv ,459,,
21,bár (-a),noun,m ,Bar,,3,Substantiv ,459,,
22,"bati se, boji se",verb,-,sich fürchten,,10,"Verb, impf ",145,,
23,"bél -a, -o",adj,-,weiß,,3,Adjektiv ,208,,
24,bela kava,noun,f ,Milchkaffee,,5,Substantiv ,459,,
25,belo vino,noun,n ,Weißwein,,5,Substantiv ,459,,
26,beséda (-e),noun,f ,Wort,,1,Substantiv ,459,,
27,besedílo (-a),noun,n ,Text,,9,Substantiv ,459,,
28,besedíšče (-a),noun,n ,Vokabelliste,,1,Substantiv ,459,,
29,béž (auch beige)(unveränderlich),adj,-,beige,,3,Adjektiv ,208,,
30,bi,mix,-,würde,,5,"Partikel, (Konditionalmorphem) ",32,,
31,biblija (-e),noun,-,Bibel,,12,"Substantiv, f ",459,,
32,biologíja (-e),noun,f ,Biologie,,1,Substantiv ,459,,
33,"bíti, je",verb,-,sein,,2,"Verb, impf ",145,,
34,blizu,adj,-,in der Nähe,,8,Adverb ,208,,
35,bôlj,adj,-,mehr,,2,"Adverb, Komparativ ",208,,
36,"boljši, -a, -e",adj,-,besser,,14,Adjektiv ,208,,
37,"brálec, -lca",noun,m ,Leser,,16,Substantiv ,459,,
38,"branjevka, -e",noun,f ,Markthändlerin / Gemüsefrau,,11,Substantiv ,459,,
39,"brati, bere",verb,-,lesen,,12,"Verb, impf ",145,,
41,čaj (-a),noun,m ,Tee,,5,Substantiv ,459,,
42,čas (-a),noun,m ,Zeit,,13,Substantiv ,459,,
44,časopis (-a),noun,m ,Zeitung,,13,Substantiv ,459,,
46,Čéh (-a),noun,m ,Tscheche,,1,Substantiv ,459,,
47,"cél, -a, -o",adj,-,ganz,,15,Adjektiv ,208,,
48,celo,adj,-,sogar,,14,Adverb ,208,,
49,cénter (-tra),noun,m ,Zentrum,,1,Substantiv ,459,,
50,cerkev (-kve),noun,f ,Kirche,,8,Substantiv ,459,,
51,"češnja, -e",noun,f ,Kirsche,,11,Substantiv ,459,,
52,čevapčiči,noun,m ,Cevapcici,,5,"Substantiv, pl ",459,,
53,čevelj (-vlja),noun,m ,Schuh,,8,Substantiv ,459,http://mrg.bz/CVsOCf,shoe
54,čez,prep,-,-,,6,Präposition,18,,
55,cigaréta (-e),noun,f ,Zigarette,,1,Substantiv ,459,http://mrg.bz/mMv1mX,cigarette
56,"čigáv -a, -o",pron,-,wessen,,3,Interrogativpronom ,28,,
57,Číle (-a),noun,m ,Chile,,9,Substantiv ,459,,
58,cílj (-a),noun,m ,Ziel,,1,Substantiv ,459,,
59,číps (-a),noun,m ,Kartoffelchips,,1,Substantiv ,459,http://mrg.bz/JCGHDA,chips
60,član (-a),noun,m ,Mitglied,,14,Substantiv ,459,,
61,"článek, -a",noun,m ,Artikel,,16,Substantiv ,459,,
62,cmok (-a),noun,m ,Knödel,,5,Substantiv ,459,,
63,čokoláda (-e),noun,f ,Schokolade,,1,Substantiv ,459,,
64,"črn -a, -o",adj,-,schwarz,,13,Adjektiv ,208,,
65,črtica (-e),noun,-,Kurzgeschichte,,12,"Substantiv, f ",459,,
67,da,mix,-,um ... zu,,6,Konjunktion ,32,,
68,"daljši, -a, -e",adj,-,länger,,14,Adjektiv ,208,,
69,dan (dneva),noun,m ,Tag,,7,Substantiv ,459,,
72,danes,adj,-,heute,,12,Adverb ,208,,
73,darilo (-a),noun,n ,Geschenk,,7,Substantiv ,459,,
74,"dáti, -a",verb,-,geben,,15,"Verb, pf ",145,,
76,"dêbel debéla, -o",adj,-,dick,,3,Adjektiv ,208,,
